Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,35.0,64,5,2,374,376,78,708,212,323,2,3,0,1313,438,426,50.7
Aston Villa,28,35.0,68,2,1,379,459,51,559,226,345,6,2,0,1309,348,388,47.3
Bournemouth,29,35.0,90,2,0,474,365,63,761,335,377,7,4,0,1701,536,576,48.2
Brentford,28,34.0,53,1,0,279,308,62,600,263,346,5,1,3,1461,568,505,52.9
Brighton,31,34.0,73,3,2,394,374,40,623,280,377,4,7,2,1463,470,422,52.7
Chelsea,29,34.0,94,1,1,392,402,55,610,244,326,4,6,0,1408,364,357,50.5
Crystal Palace,29,34.0,75,4,3,374,362,66,540,290,409,3,2,3,1504,462,577,44.5
Everton,26,35.0,77,2,1,406,347,79,634,306,402,1,2,0,1404,562,524,51.7
Fulham,26,35.0,75,2,0,398,333,41,836,282,382,3,2,2,1493,491,491,50.0
Ipswich Town,32,35.0,89,5,4,402,368,46,454,290,315,2,6,2,1331,505,503,50.1
Leicester City,31,35.0,81,0,0,378,351,59,590,306,394,3,4,3,1384,467,524,47.1
Liverpool,24,34.0,62,2,1,391,320,55,654,271,363,6,1,1,1450,376,335,52.9
Manchester City,29,35.0,58,1,1,267,350,42,590,206,281,3,4,2,1334,279,300,48.2
Manchester Utd,31,34.0,76,3,1,366,331,62,561,340,442,3,4,1,1546,433,439,49.7
Newcastle Utd,24,34.0,59,1,0,354,405,70,616,249,335,4,2,2,1497,425,409,51.0
Nott'ham Forest,23,34.0,74,2,2,358,374,82,524,288,377,3,2,0,1415,509,499,50.5
Southampton,35,35.0,86,3,0,433,401,45,521,280,350,2,9,0,1345,428,369,53.7
Tottenham,31,34.0,64,1,1,394,444,56,714,283,383,3,2,4,1525,373,384,49.3
West Ham,27,34.0,72,3,2,389,364,67,542,301,332,2,3,3,1395,524,497,51.3
Wolves,30,35.0,74,2,2,457,392,59,505,282,435,0,8,3,1516,411,444,48.1
