Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,25,35.0,18735,17220,1437,400,74,69,708,557,232,200,3,2,15792,78,254
Aston Villa,28,35.0,16565,14948,1566,535,91,51,559,460,218,144,21,1,13748,51,324
Bournemouth,29,35.0,15330,13698,1569,392,54,70,761,634,211,156,17,4,11692,63,286
Brentford,28,34.0,15323,13845,1416,353,59,60,600,524,153,120,2,0,11963,62,256
Brighton,31,34.0,17243,15738,1465,443,66,71,623,550,169,98,41,6,14216,40,275
Chelsea,29,34.0,19510,17974,1481,468,75,91,610,534,212,118,29,8,16566,55,272
Crystal Palace,29,34.0,14232,12712,1454,396,60,53,540,554,156,101,18,0,10754,66,270
Everton,26,35.0,13748,12170,1499,387,27,78,634,635,142,92,24,11,10443,79,280
Fulham,26,35.0,18269,16703,1525,413,41,106,836,592,194,84,84,0,14964,41,319
Ipswich Town,32,35.0,13429,11931,1452,397,42,56,454,516,134,101,18,1,10423,46,283
Leicester City,31,35.0,16293,14681,1553,400,52,41,590,622,132,81,28,4,13010,59,296
Liverpool,24,34.0,19473,17906,1512,400,60,120,654,613,229,134,63,1,16368,55,295
Manchester City,29,35.0,22557,21067,1448,414,82,83,590,551,229,110,34,4,19908,42,312
Manchester Utd,31,34.0,18203,16713,1428,368,83,98,561,580,180,92,40,10,14980,62,317
Newcastle Utd,24,34.0,16944,15319,1555,440,72,80,616,620,192,109,18,14,13801,70,322
Nott'ham Forest,23,34.0,12582,11069,1431,391,49,52,524,532,137,63,64,0,9419,82,252
Southampton,35,35.0,17376,15900,1431,443,41,56,521,456,141,93,31,0,14570,45,254
Tottenham,31,34.0,18539,16776,1707,515,50,63,714,627,233,103,61,0,15445,56,399
West Ham,27,34.0,16153,14643,1443,396,52,120,542,533,138,74,52,1,13008,67,301
Wolves,30,35.0,16162,14576,1527,455,54,114,505,623,123,83,27,2,13033,59,301
