Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,25,35.0,62,494,161,32.6,14.11,4.6,0.12,0.37,15.0,10,2,2,54.4,52.9,0.11,7.6,7.1
Aston Villa,28,35.0,53,448,148,33.0,12.8,4.23,0.11,0.34,16.2,12,3,6,53.3,48.5,0.11,-0.3,1.5
Bournemouth,29,35.0,54,536,179,33.4,15.31,5.11,0.09,0.27,16.7,9,6,7,60.5,55.0,0.11,-6.5,-7.0
Brentford,28,34.0,58,384,151,39.3,11.29,4.44,0.14,0.35,15.2,10,5,5,50.9,47.1,0.13,7.1,5.9
Brighton,31,34.0,54,468,161,34.4,13.76,4.74,0.1,0.3,17.2,24,5,5,52.0,48.2,0.1,2.0,0.8
Chelsea,29,34.0,57,547,190,34.7,16.09,5.59,0.1,0.28,16.8,16,3,4,62.1,59.0,0.11,-5.1,-5.0
Crystal Palace,29,34.0,41,448,149,33.3,13.18,4.38,0.09,0.26,17.0,18,2,3,51.3,49.0,0.11,-10.3,-10.0
Everton,26,35.0,33,366,122,33.3,10.46,3.49,0.08,0.25,17.1,10,2,2,36.9,35.3,0.1,-3.9,-4.3
Fulham,26,35.0,49,469,151,32.2,13.4,4.31,0.1,0.3,16.3,8,3,4,46.0,42.9,0.09,3.0,3.1
Ipswich Town,32,35.0,34,329,110,33.4,9.4,3.14,0.1,0.29,17.7,10,2,2,31.3,29.7,0.09,2.7,2.3
Leicester City,31,35.0,29,310,96,31.0,8.86,2.74,0.09,0.28,17.5,8,2,3,30.5,28.3,0.09,-1.5,-1.3
Liverpool,24,34.0,79,582,200,34.4,17.12,5.88,0.12,0.35,16.0,8,9,9,74.4,67.5,0.12,4.6,2.5
Manchester City,29,35.0,66,546,195,35.7,15.6,5.57,0.12,0.33,16.9,17,2,3,61.9,59.4,0.11,4.1,4.6
Manchester Utd,31,34.0,37,461,148,32.1,13.56,4.35,0.07,0.23,17.2,14,3,3,45.7,43.4,0.1,-8.7,-9.4
Newcastle Utd,24,34.0,63,461,142,30.8,13.56,4.18,0.13,0.42,16.0,10,4,5,57.8,54.2,0.12,5.2,4.8
Nott'ham Forest,23,34.0,52,413,147,35.6,12.15,4.32,0.12,0.33,17.6,12,3,3,40.4,38.0,0.09,11.6,11.0
Southampton,35,35.0,24,326,102,31.3,9.31,2.91,0.07,0.24,16.4,6,0,2,30.7,29.0,0.09,-6.7,-5.0
Tottenham,31,34.0,59,472,172,36.4,13.88,5.06,0.12,0.33,16.0,10,2,3,54.8,52.4,0.11,4.2,4.6
West Ham,27,34.0,36,427,120,28.1,12.56,3.53,0.08,0.28,16.4,13,3,3,42.2,40.0,0.1,-6.2,-7.0
Wolves,30,35.0,50,391,143,36.6,11.17,4.09,0.13,0.35,18.1,18,0,0,40.4,40.4,0.1,9.6,9.6
